Id,Label,Type
art:Cap.1/3,3,article
art:Cap.1/2,2,article
art:Cap.12/627,627,article
art:Cap.10/2,2,article
art:Cap.94/41,41,article
law:Cap.94,law:Cap.94,article
law:Cap.499,law:Cap.499,article
art:Cap.10/20,20,article
law:XV.2009.52,law:XV.2009.52,article
art:Cap.10/21,21,article
art:Cap.10/23,23,article
art:Cap.10/24,24,article
art:Cap.10/25,25,article
art:Cap.10/25A,25A,article
art:Cap.10/26,26,article
art:Cap.10/27,27,article
art:Cap.10/28,28,article
art:Cap.10/29,29,article
art:Cap.10/30,30,article
art:Cap.10/31,31,article
art:Cap.10/32,32,article
art:Cap.10/33,33,article
art:Cap.10/34,34,article
art:Cap.10/45,45,article
art:Cap.10/46,46,article
art:Cap.10/44,44,article
art:CriminalCode/377,377,article
art:Cap.10/47,47,article
art:Cap.10/43,43,article
art:Cap.10/95,95,article
law:ActXVI.2023.3,law:ActXVI.2023.3,article
art:Cap.10/96,96,article
art:Cap.10/97,97,article
art:Cap.10/102,102,article
art:Cap.10/108,108,article
art:Cap.10/376,376,article
law:Cap.409,law:Cap.409,article
law:S.L.376.2012,law:S.L.376.2012,article
art:Cap.10/100,100,article
art:Cap.10/101,101,article
art:Cap.10/103,103,article
art:Cap.10/321,321,article
art:Cap.10/104,104,article
art:Cap.10/105,105,article
art:Cap.10/106,106,article
art:Cap.10/109,109,article
art:Cap.10/112,112,article
art:Cap.10/113,113,article
art:Cap.10/107,107,article
art:Cap.10/110,110,article
art:Cap.10/111,111,article
art:Cap.10/114,114,article
art:Cap.10/116,116,article
art:Cap.10/121,121,article
art:Cap.10/125,125,article
law:XXV.2001.50,law:XXV.2001.50,article
art:Cap.10/126,126,article
art:Cap.10/127,127,article
art:ActXXVof2001/50,50,article
art:Cap.10/130,130,article
art:ActXXVIIof2001/33,33,article
art:Cap.10/134,134,article
art:Cap.10/139,139,article
law:Cap.17,law:Cap.17,article
law:Cap.18,law:Cap.18,article
art:Cap.10/149,149,article
art:Cap.10/148,148,article
art:Cap.10/152,152,article
art:AnimalWelfareAct(Cap.439)/2,2,article
art:Cap.10/185,185,article
art:Cap.10/175,175,article
art:Cap.10/193,193,article
law:Cap.438,law:Cap.438,article
art:Cap.10/201,201,article
law:XXVII.2001.33,law:XXVII.2001.33,article
art:Cap.10/202,202,article
law:XLII.1986.20,law:XLII.1986.20,article
art:Cap.10/203,203,article
law:ActXVIII.2012.3,law:ActXVIII.2012.3,article
art:Cap.10/204,204,article
art:Cap.10/205,205,article
art:Cap.10/206,206,article
art:Cap.9/304,304,article
art:Cap.10/210,210,article
art:Cap.10/V.1991.50,V.1991.50,article
art:Cap.10/211,211,article
art:Cap.10/212,212,article
art:Cap.10/213,213,article
art:Cap.10/218,218,article
art:XXVII.2001/33,33,article
art:Cap.10/219,219,article
art:Cap.10/220,220,article
art:XVII.1991/82,82,article
art:Cap.10/221,221,article
art:Cap.10/222,222,article
art:Cap.10/229,229,article
