src,dst,edgeType,targetLaw
art:Cap.1/3,art:Cap.1/2,INTERNAL_REF,
art:Cap.1/3,art:Cap.12/627,EXTERNAL_REF,Cap. 12
art:Cap.10/2,art:Cap.94/41,EXTERNAL_REF,Cap. 94
art:Cap.10/2,law:Cap.94,EXTERNAL_REF,Cap. 94
art:Cap.10/2,law:Cap.499,EXTERNAL_REF,Cap. 499
art:Cap.10/20,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/21,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/23,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/24,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/25,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/25A,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/26,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/27,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/28,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/29,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/30,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/31,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/32,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/33,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/34,law:XV.2009.52,EXTERNAL_REF,XV.2009.52
art:Cap.10/45,art:Cap.10/45,INTERNAL_REF,
art:Cap.10/46,art:Cap.10/44,INTERNAL_REF,
art:Cap.10/46,art:Cap.10/46,INTERNAL_REF,
art:Cap.10/46,art:CriminalCode/377,EXTERNAL_REF,Criminal Code
art:Cap.10/47,art:Cap.10/43,INTERNAL_REF,
art:Cap.10/47,art:Cap.10/45,INTERNAL_REF,
art:Cap.10/47,art:Cap.10/45,INTERNAL_REF,
art:Cap.10/95,law:ActXVI.2023.3,EXTERNAL_REF,Act XVI.2023.3
art:Cap.10/96,law:ActXVI.2023.3,EXTERNAL_REF,Act XVI.2023.3
art:Cap.10/97,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/108,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/376,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/97,law:Cap.409,EXTERNAL_REF,Cap. 409
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/97,law:S.L.376.2012,EXTERNAL_REF,S.L. 376.2012
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/97,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/100,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/101,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/102,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/102,art:Cap.10/100,INTERNAL_REF,
art:Cap.10/102,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/102,art:Cap.10/102,INTERNAL_REF,
art:Cap.10/103,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/103,art:Cap.10/100,INTERNAL_REF,
art:Cap.10/103,art:Cap.10/321,INTERNAL_REF,
art:Cap.10/104,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/105,art:Cap.10/104,INTERNAL_REF,
art:Cap.10/106,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/109,art:Cap.10/108,INTERNAL_REF,
art:Cap.10/112,art:Cap.10/97,INTERNAL_REF,
art:Cap.10/113,art:Cap.10/106,INTERNAL_REF,
art:Cap.10/113,art:Cap.10/107,INTERNAL_REF,
