source,target,weight,source_name,target_name,edge_type
Cap.10,Cap.499,1,Code of Police Laws,Authority for Transport in Malta Act,CROSS_REFERENCE
Cap.10,Cap.9,6,Code of Police Laws,Criminal Code,CROSS_REFERENCE
Cap.101,Cap.12,13,Dangerous Drugs Ordinance,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.101,Cap.31,7,Dangerous Drugs Ordinance,Medical and Kindred Professions Ordinance,CROSS_REFERENCE
Cap.101,Cap.37,2,Dangerous Drugs Ordinance,Customs Ordinance,CROSS_REFERENCE
Cap.101,Cap.446,6,Dangerous Drugs Ordinance,Probation Act,CROSS_REFERENCE
Cap.101,Cap.9,15,Dangerous Drugs Ordinance,Criminal Code,CROSS_REFERENCE
Cap.12,Cap.13,2,Code of Organization and Civil Procedure,Commercial Code,CROSS_REFERENCE
Cap.12,Cap.16,20,Code of Organization and Civil Procedure,Civil Code,CROSS_REFERENCE
Cap.12,Cap.204,1,Code of Organization and Civil Procedure,Central Bank of Malta Act,CROSS_REFERENCE
Cap.12,Cap.234,7,Code of Organization and Civil Procedure,Merchant Shipping Act,CROSS_REFERENCE
Cap.12,Cap.318,1,Code of Organization and Civil Procedure,Social Security Act,CROSS_REFERENCE
Cap.12,Cap.345,3,Code of Organization and Civil Procedure,Financial Markets Act,CROSS_REFERENCE
Cap.12,Cap.371,2,Code of Organization and Civil Procedure,Banking Act,CROSS_REFERENCE
Cap.12,Cap.373,1,Code of Organization and Civil Procedure,Prevention of Money Laundering Act,CROSS_REFERENCE
Cap.12,Cap.378,1,Code of Organization and Civil Procedure,Consumer Affairs Act,CROSS_REFERENCE
Cap.12,Cap.379,1,Code of Organization and Civil Procedure,Competition Act,CROSS_REFERENCE
Cap.12,Cap.386,3,Code of Organization and Civil Procedure,Companies Act,CROSS_REFERENCE
Cap.12,Cap.387,1,Code of Organization and Civil Procedure,Arbitration Act,CROSS_REFERENCE
Cap.12,Cap.451,3,Code of Organization and Civil Procedure,Mutual Recognition of Qualifications Act,CROSS_REFERENCE
Cap.12,Cap.496,9,Code of Organization and Civil Procedure,Freedom of Information Act,CROSS_REFERENCE
Cap.12,Cap.503,6,Code of Organization and Civil Procedure,Aircraft Registration Act,CROSS_REFERENCE
