id,label,type
art:Cap.12/991,art:Cap.12/991,article
art:Cap.643/20,art:Cap.643/20,article
reg:S.L.16/1600,reg:S.L.16/1600,unknown
reg:S.L.545.21/item 7 of the Sixth Schedule,reg:S.L.545.21/item 7 of the Sixth Schedule,unknown
law:CouncilDirective(EU)2020/262,law:CouncilDirective(EU)2020/262,law
reg:S.L.425.18/2,reg:S.L.425.18/2,unknown
reg:S.L.378.12/Third Schedule,reg:S.L.378.12/Third Schedule,unknown
art:Cap.13/371,art:Cap.13/371,article
reg:S.L.433.30/point (2)(b) of Schedule III,reg:S.L.433.30/point (2)(b) of Schedule III,unknown
reg:S.L.460.36/3,reg:S.L.460.36/3,unknown
art:StandingOrdersoftheHouseofRepresentatives/120A,art:StandingOrdersoftheHouseofRepresentatives/120A,article
reg:S.L.123.183/5,reg:S.L.123.183/5,unknown
art:CRD/113,art:CRD/113,article
reg:S.L.331.06/9,reg:S.L.331.06/9,unknown
reg:S.L.460.08/Fifth Schedule,reg:S.L.460.08/Fifth Schedule,unknown
law:CouncilDirective96/61/EC,law:CouncilDirective96/61/EC,law
art:Cap.575/55,art:Cap.575/55,article
reg:S.L.622.01/2,reg:S.L.622.01/2,unknown
reg:S.L.549.98/2,reg:S.L.549.98/2,unknown
reg:S.L.380.01/16,reg:S.L.380.01/16,unknown
art:Cap.12/558,art:Cap.12/558,article
"art:Cap.392/IV, V and VI","art:Cap.392/IV, V and VI",article
law:Cap.332,law:Cap.332,law
reg:S.L.417.01/2,reg:S.L.417.01/2,unknown
art:Cap.65/15D,art:Cap.65/15D,article
law:S.L.424.10,law:S.L.424.10,law
art:Cap.386/286,art:Cap.386/286,article
reg:S.L.449.20/Schedule,reg:S.L.449.20/Schedule,unknown
reg:S.L.433.10/VI,reg:S.L.433.10/VI,unknown
reg:S.L.220.07/3,reg:S.L.220.07/3,unknown
art:Cap.321/10,art:Cap.321/10,article
art:CivilCode/2010,art:CivilCode/2010,article
law:Regulation(EC)No1924/2006oftheEuropeanParliamentandoftheCouncilof20December2006,law:Regulation(EC)No1924/2006oftheEuropeanParliamentandoftheCouncilof20December2006,law
reg:S.L.433.03/Schedule II Part A,reg:S.L.433.03/Schedule II Part A,unknown
reg:S.L.218.01/the Schedule,reg:S.L.218.01/the Schedule,unknown
reg:S.L.281.07/15,reg:S.L.281.07/15,unknown
art:Cap.573/28,art:Cap.573/28,article
art:Cap.16/421,art:Cap.16/421,article
reg:S.L.327.689/12,reg:S.L.327.689/12,unknown
art:Cap.307/8,art:Cap.307/8,article
reg:S.L.16/1335,reg:S.L.16/1335,unknown
reg:S.L.458.36/10,reg:S.L.458.36/10,unknown
reg:S.L.254.01/25,reg:S.L.254.01/25,unknown
reg:S.L.246.07/4,reg:S.L.246.07/4,unknown
art:Cap.9/412C,art:Cap.9/412C,article
art:Cap.123/86,art:Cap.123/86,article
law:theCharteroftheUnitedNations,law:theCharteroftheUnitedNations,law
reg:S.L.549.60/7,reg:S.L.549.60/7,unknown
reg:S.L.161.138/5,reg:S.L.161.138/5,unknown
art:Cap.378/43E,art:Cap.378/43E,article
art:Cap.590/62,art:Cap.590/62,article
reg:S.L.406.06/4,reg:S.L.406.06/4,unknown
